Date,T2M,T2MDEW,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS2M,WS2M_MAX,WS2M_MIN,GWETTOP,GWETROOT,GWETPROF,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg
2007-06-01,30.203333333333333,23.290000000000003,31.19333333333333,9.456666666666667,35.40333333333333,25.95,18.005,68.85333333333334,100.07333333333334,2.8783333333333334,4.348333333333334,1.4799999999999998,0.415,0.455,0.46166666666666667,86.931,108.7931
2007-06-11,28.532999999999998,23.506999999999998,29.124000000000002,6.57,32.399,25.829,18.238,75.649,99.961,4.279,5.868,2.723,0.453,0.45899999999999996,0.45499999999999996,90.3017,49.7503
2007-06-21,27.94214285714286,22.749285714285715,28.527142857142856,6.6621428571428565,31.865714285714287,25.20285714285714,17.40285714285714,74.62642857142858,100.05071428571429,5.098571428571428,6.550714285714285,3.5435714285714286,0.44857142857142857,0.47428571428571425,0.475,26.431,14.0302
2007-07-01,28.986666666666665,22.49,29.643333333333334,8.038333333333332,33.714999999999996,25.676666666666666,17.121666666666666,69.91666666666667,100.24666666666667,5.076666666666667,6.851666666666667,3.4333333333333336,0.415,0.45166666666666666,0.455,23.8362,21.0032
2007-07-11,28.922000000000004,22.433,29.633,7.5120000000000005,33.424,25.915,17.058,69.8,100.15,5.79,7.095999999999999,4.5200000000000005,0.40599999999999997,0.43899999999999995,0.445,28.5948,36.7463
2007-07-21,27.728,22.456000000000003,28.527333333333335,7.302666666666667,31.992666666666665,24.69,17.067999999999998,74.49933333333334,100.12466666666666,4.1386666666666665,5.463333333333334,2.742,0.44466666666666665,0.448,0.446,81.6724,52.298
2007-08-01,28.151666666666667,22.281666666666666,28.810000000000002,8.018333333333333,32.641666666666666,24.62,16.865,72.10666666666667,100.25833333333333,4.218333333333333,5.676666666666667,2.78,0.44,0.4716666666666667,0.47333333333333333,90.5086,53.6175
2007-08-11,28.498,22.232999999999997,29.244999999999997,8.533,33.498000000000005,24.965,16.839,71.063,100.186,4.755,6.107,3.439,0.42000000000000004,0.45099999999999996,0.453,87.5259,60.8282
2007-08-21,28.360666666666663,22.6,29.124666666666666,8.016,33.094,25.078,17.224,72.82466666666666,100.17266666666666,4.186,5.447333333333333,2.792666666666667,0.436,0.45,0.45066666666666666,63.6293,70.2537
2007-09-01,28.593333333333334,22.22666666666667,29.403333333333332,8.351666666666667,33.461666666666666,25.111666666666668,16.846666666666668,70.375,100.17833333333334,4.755,6.196666666666666,3.1033333333333335,0.4183333333333333,0.45,0.45,81.3362,93.3828
2007-09-11,27.742,22.982999999999997,28.485000000000003,7.398000000000001,31.999000000000002,24.601,17.651,76.94300000000001,100.11699999999999,3.315,4.853,1.918,0.485,0.47800000000000004,0.476,93.569,99.7816
